name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus,Value
Stephan Bonnar,200,180,320,0,0,97,0,797
Kyoji Horiguchi,200,0,400,0,0,165,25,790
Trevin Giles,300,0,160,0,140,188,0,788
Sodiq Yusuff,200,90,320,0,0,151,25,786
Marc Diakiese,200,0,400,0,70,115,0,785
Carlos Newton,0,450,160,0,70,27,75,782
Edmen Shahbazyan,500,90,0,0,70,121,0,781
Shawn Jordan,600,90,0,0,0,91,0,781
Ricardo Arona,200,90,240,0,140,105,0,775
Jordan Mein,300,0,240,0,70,164,0,774
Bryce Mitchell,100,90,400,75,0,109,0,774
Brian Kelleher,200,270,240,0,0,64,0,774
Alexandr Romanov,100,270,160,0,70,174,0,774
Jussier Formiga,0,270,480,0,0,21,0,771
Hakeem Dawodu,100,0,160,0,210,301,0,771
Lauren Murphy,200,90,160,0,210,84,25,769
Cezar Ferreira,0,270,320,0,140,38,0,768
Umar Nurmagomedov,100,180,240,0,0,222,25,767
Miranda Maverick,0,180,400,0,0,185,0,765
Dan Severn,0,450,160,0,70,84,0,764
Gregor Gillespie,400,180,80,0,0,101,0,761
Kyung Ho Kang,0,360,80,0,210,108,0,758
Fabio Maldonado,200,0,160,0,70,302,25,757
Nordine Taleb,200,0,320,0,70,166,0,756
Hideo Tokoro,100,180,320,0,70,86,0,756
Sean Brady,0,270,320,0,0,139,25,754
Jonathan Pearce,300,90,160,0,0,204,0,754
Ryan LaFlare,0,0,560,0,0,167,25,752
Molly McCann,200,90,320,0,0,142,0,752
Kiyoshi Tamura,400,90,160,0,0,101,0,751
Michal Oleksiejczuk,600,0,0,0,70,80,0,750
Bryan Battle,300,180,80,0,70,120,0,750
Erick Silva,200,450,0,0,0,74,25,749
Cody Stamann,100,0,320,0,140,189,0,749
Dan Miller,0,540,80,0,70,27,25,742
Shane Roller,100,450,160,0,0,31,0,741
Shavkat Rakhmonov,100,450,80,0,0,86,25,741
George Roop,300,0,160,0,70,210,0,740
Macy Chiasson,200,180,160,0,70,130,0,740
Adrian Yanez,600,0,0,0,70,69,0,739
Chas Skelly,200,360,160,0,0,17,0,737
Mateusz Gamrot,300,90,160,0,70,66,50,736
Taylor Lapilus,100,0,400,0,0,234,0,734
Tanner Boser,300,0,160,0,0,272,0,732
Sergei Pavlovich,600,0,0,0,0,82,50,732
Natalia Silva,200,0,320,0,0,211,0,731
Hermes Franca,200,270,160,0,0,51,50,731
Alexander Hernandez,300,0,240,0,70,120,0,730
Murilo Bustamante,200,270,160,0,0,50,50,730
Said Nurmagomedov,200,270,80,0,70,109,0,729
Walt Harris,600,0,0,0,0,104,25,729
Warlley Alves,200,270,160,0,0,98,0,728
Vinc Pichel,100,0,480,0,0,148,0,728
Amir Sadollah,100,90,240,0,70,228,0,728
Michael McDonald,200,270,80,0,70,58,50,728
Jimmie Rivera,100,0,400,0,70,132,25,727
Antonio Banuelos,0,0,400,0,210,115,0,725
Mike Perry,400,0,160,0,70,95,0,725
Mairbek Taisumov,500,0,160,0,0,63,0,723
Paulo Costa,400,0,160,0,0,87,75,722
Stevie Ray,200,0,160,150,70,142,0,722
Mark Hominick,200,270,80,0,70,77,25,722
Augusto Sakai,300,0,80,0,140,150,50,720
Brian Bowles,200,360,80,0,0,30,50,720
Pat Miletich,100,270,80,0,140,55,75,720
Aleksandar Rakic,200,0,320,0,0,173,25,718
Kurt Pellegrino,100,360,160,0,0,98,0,718
Greg Hardy,500,0,80,0,0,137,0,717
Scott Holtzman,100,90,320,0,0,207,0,717
Randa Markos,0,90,320,0,140,166,0,716
Andre Muniz,0,360,240,0,70,46,0,716
Akihiro Gono,0,360,240,0,70,44,0,714
George Sotiropoulos,100,360,160,0,0,68,25,713
Patrick Cummins,200,0,240,0,70,201,0,711
Brock Lesnar,300,90,80,0,0,116,125,711
Paul Buentello,500,90,0,0,0,70,50,710
Miles Johns,200,0,320,0,70,119,0,709
Denis Kang,200,180,240,0,0,89,0,709
Matt Serra,200,90,160,75,70,64,50,709
Tatsuro Taira,200,180,160,0,0,118,50,708
Nicolas Dalby,100,0,320,0,140,145,0,705
Roger Huerta,300,90,160,0,0,154,0,704
Yancy Medeiros,200,270,80,0,70,55,25,700
Andrea Lee,100,90,240,0,0,269,0,699
Ludovit Klein,200,0,320,0,70,109,0,699
Erik Perez,200,90,240,0,70,99,0,699
Darren Till,200,0,240,0,70,39,150,699
Antonio Carlos Junior,0,450,160,0,0,88,0,698
