player_name,value,playoff_value,total_value,passes_bought
Anthony Molina,182,0,182,4
Ian Hamilton,182,20,202,105
Triston McKenzie,181,0,181,195
Addison Barger,180,0,180,56
Ronald Acuña Jr.,180,0,180,14876
Shawn Dubin,180,0,180,3
Elehuris Montero,179,0,179,27
Kyle Leahy,178,0,178,4
Luke Little,178,0,178,40
Chris Roycroft,176,0,176,4
Jorge Mateo,176,0,176,122
Tony Santillan,175,0,175,4
Daniel Schneemann,174,0,174,59
Spencer Bivens,173,0,173,18
Dakota Hudson,172,0,172,10
Kris Bubic,172,52,224,7
Taylor Walls,170,0,170,8
Ryan Brasier,169,57,226,44
Brandon Drury,168,0,168,48
Steven Wilson,168,0,168,7
Brant Hurter,167,31,198,6
Justyn-Henry Malloy,166,44,210,
Peter Lambert,166,0,166,6
Michael Kelly,165,0,165,5
Gabe Speier,164,0,164,21
Garrett Hampson,164,64,228,22
Robbie Grossman,164,0,164,14
Yency Almonte,164,0,164,40
Chad Kuhl,163,0,163,1
Derek Hill,163,0,163,21
Kyle Bradish,162,0,162,258
DJ LeMahieu,161,0,161,199
Junior Caminero,161,0,161,75
Valente Bellozo,161,0,161,4
Jackson Holliday,160,0,160,1064
Cavan Biggio,159,0,159,143
Leo Jiménez,159,0,159,13
Austin Slater,158,5,163,31
Graham Ashcraft,158,0,158,94
Walker Buehler,158,144,302,164
Ben Rice,157,0,157,812
Jordan Leasure,157,0,157,9
Tommy Edman,156,317,473,141
Anthony Rendon,154,0,154,31
Carlos Hernández,153,0,153,3
Dillon Tate,153,0,153,23
Jack Kochanowicz,153,0,153,5
Slade Cecconi,153,0,153,17
Alex Kirilloff,152,0,152,175
Angel Chivilli,152,0,152,4
Keegan Thompson,151,0,151,22
Patrick Wisdom,151,0,151,134
Kyle Manzardo,150,75,225,87
Kyle Stowers,150,0,150,29
Noelvi Marte,150,0,150,94
Jonathan Hernández,149,0,149,10
Daniel Lynch IV,148,0,148,4
Edward Olivares,148,0,148,78
