name,wins,losses,ufc_loses,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses
Antonio Dos Santos,6,4
Anderson Dos Santos,21,9
Acacio Dos Santos,14,5
Felipe dos Santos,8,1
Tiago dos Santos e Silva,20,7
Oleksandr Doskalchuk,10,2
David Douglas,9,7
Damion Douglas,4,1
Cedric Doumbe,2,0
John Dowdy,0,1
Jordan Dowdy,4,3
Danny Downes,8,3
Derek Downey,11,4
John Doyle,11,22
Edson Drago,11,7
Kyle Driscoll,12,3
Chris Drumm,0,1
Tomasz Drwal,21,5
Robert Drysdale,7,0
Dricus Du Plessis,21,2
Hugo Duarte,6,3
Antonio Duarte,19,7
Joe Duarte,10,4
Emily Ducote,13,8
Viktoriia Dudakova,8,0
Milana Dudieva,11,6
Adin Duenas,6,1
Todd Duffee,9,3
Joe Duffy,16,5
Alexis Dufresne,6,3
Jessamyn Duke,3,5
Isaac Dulgarian,6,0
Kelly Dullanty,4,2
Sedriques Dumas,9,1
Norma Dumont,10,2
Chris Duncan,11,2
Christian Leroy Duncan,10,1
Evan Dunham,18,9
Alex Dunworth,2,2
Tom Duquesnoy,16,2
Albert Duraev,16,5
Reuben Duran,11,7
Cody Durden,16,5
Luiz Dutra,13,6
Rilley Dutro,11,4
Bill Duvall,1,2
Merab Dvalishvili,17,4
David Dvorak,20,6
Matt Dwyer,9,4
Rolando Dy,9,7
Ben Earwood,12,3
Cody East,12,3
Marvin Eastman,18,15
Mike Easton,13,6
Maurice Eazel,7,15
Vincent Eazelle,9,2
Ross Ebanez,20,10
Brian Ebersole,51,18
Roybert Echeverria,7,1
Mark Eddiva,6,3
Frankie Edgar,23,11
Abdul-Kerim Edilov,17,4
Johnny Eduardo,28,13
Yves Edwards,42,22
Justin Edwards,9,5
Leon Edwards,22,3
Te Edwards,6,3
Adli Edwards,4,1
Joselyne Edwards,13,5
Tom Egan,7,5
Stephanie Egger,8,5
Justin Eilers,19,7
Jon Olav Einemo,6,3
Per Eklund,14,5
John Elam,2,0
Evan Elder,8,2
John Paul Elias,3,1
Joao Elias,17,4
Saul Elizondo,6,8
Darren Elkins,28,11
Jake Ellenberger,31,15
Joe Ellenberger,15,2
Tim Elliott,21,13
Oban Elliott,10,2
Eddy Ellis,21,16
Lisa Ellis,15,11
Anna Elmose,3,2
Cameron Else,10,6
Aaron Ely,5,2
Sovannahry Em,3,1
Ramazan Emeev,20,6
Aleksander Emelianenko,23,7
Fedor Emelianenko,36,5
Rob Emerson,18,12
Jamall Emmers,20,7
Josh Emmett,19,4
Marius Enache,3,3
Kevin Engel,5,1
Kolton Englund,9,4
Oliver Enkamp,7,2
Alex Enlund,14,2
Kenny Ento,14,15
Ian Entwistle,9,3
Andy Enz,10,4
Won Jin Eoh,5,5
Josh Epps,6,7
Steve Erceg,12,1
